San Francisco, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
199705,0.21,-0.27
199706,0.24,0.10
199707,0.00,0.00
199708,0.60,0.56
199709,0.00,-0.07
199710,0.69,-0.10
199711,6.42,4.38
199712,3.87,-0.27
199801,8.22,4.33
199802,13.64,9.68
199803,2.06,-0.67
199804,2.24,0.88
199805,2.37,1.89
199806,0.03,-0.11
199807,0.00,0.00
199808,0.00,-0.04
199809,0.09,0.02
199810,0.75,-0.04
199811,4.57,2.53
199812,1.39,-2.75
199901,2.96,-0.93
199902,4.59,0.63
199903,2.80,0.07
199904,2.18,0.82
199905,0.10,-0.38
199906,0.18,0.04
199907,0.00,0.00
199908,0.06,0.02
199909,0.27,0.20
199910,0.46,-0.33
199911,1.46,-0.58
199912,0.43,-3.71
200001,5.83,1.94
200002,8.46,4.50
200003,1.74,-0.99
200004,1.30,-0.06
200005,0.53,0.05
200006,0.14,0.00
200007,0.00,0.00
200008,0.01,-0.03
200009,0.07,0.00
200010,2.14,1.35
200011,0.91,-1.13
200012,0.44,-3.70
200101,3.87,-0.02
200102,6.12,2.16
200103,1.02,-1.71
200104,1.56,0.20
200105,0.00,-0.48
200106,0.10,-0.04
200107,0.00,0.00
200108,0.00,-0.04
200109,0.11,0.04
200110,0.31,-0.48
200111,4.51,2.47
200112,8.55,4.41
200201,1.38,-2.51
200202,1.50,-2.46
200203,2.13,-0.60
200204,0.36,-1.00
200205,0.48,0.00
200206,0.00,-0.14
200207,0.00,0.00
200208,0.00,-0.04
200209,0.00,-0.07
200210,0.00,-0.79
200211,2.94,0.90
200212,10.75,6.61
200301,1.43,-2.46
200302,2.45,-1.51
200303,1.17,-1.56
200304,4.42,3.06
200305,0.63,0.15
200306,0.00,-0.14
200307,0.00,0.00
200308,0.00,-0.04
200309,0.00,-0.07
200310,0.00,-0.79
200311,2.18,0.14
200312,6.41,2.27
200401,3.03,-0.86
200402,4.57,0.61
200403,0.67,-2.06
200404,0.10,-1.26
200405,0.07,-0.41
200406,0.00,-0.14
200407,0.00,0.00
200408,0.00,-0.04
200409,0.04,-0.03
200410,3.19,2.40
200411,1.22,-0.82
200412,6.42,2.28
200501,4.27,0.38
200502,5.11,1.15
200503,3.74,1.01
200504,1.70,0.34
200505,1.15,0.67
200506,0.30,0.16
200507,0.00,0.00
200508,0.00,-0.04
200509,0.08,0.01
200510,0.08,-0.71
200511,1.23,-0.81
200512,9.34,5.20
200601,2.46,-1.43
200602,2.30,-1.66
200603,6.14,3.41
200604,4.01,2.65
200605,0.37,-0.11
200606,0.00,-0.14
200607,0.00,0.00
200608,0.00,-0.04
200609,0.00,-0.07
200610,0.33,-0.46
200611,1.65,-0.39
200612,3.37,-0.77
200701,0.65,-3.24
200702,4.14,0.18
200703,0.27,-2.46
200704,1.15,-0.21
200705,0.09,-0.39
200706,0.00,-0.14
200707,0.01,0.01
200708,0.00,-0.04
200709,0.15,0.08
200710,1.97,1.18
200711,0.58,-1.46
200712,2.66,-1.48
200801,7.82,3.93
200802,2.04,-1.92
200803,0.23,-2.50
200804,0.03,-1.33
200805,0.00,-0.48
200806,0.00,-0.14
200807,0.00,0.00
200808,0.01,-0.03
200809,0.00,-0.07
200810,0.32,-0.47
200811,1.82,-0.22
200812,2.37,-1.77
200901,0.69,-3.20
200902,6.40,2.44
200903,2.35,-0.38
200904,0.27,-1.09
200905,0.36,-0.12
200906,0.04,-0.10
200907,0.00,0.00
200908,0.00,-0.04
200909,0.27,0.20
200910,2.96,2.17
200911,0.20,-1.84
200912,3.07,-1.07
201001,5.97,2.08
201002,2.70,-1.26
201003,2.78,0.05
201004,2.75,1.39
201005,0.69,0.21
201006,0.00,-0.14
201007,0.00,0.00
201008,0.00,-0.04
201009,0.01,-0.06
201010,0.84,0.05
201011,2.41,0.37
201012,6.00,1.86
201101,0.94,-2.95
201102,4.79,0.83
201103,5.70,2.97
201104,0.33,-1.03
201105,0.47,-0.01
201106,1.49,1.35
201107,0.00,0.00
201108,0.00,-0.04
201109,0.01,-0.06
201110,1.18,0.39
201111,1.56,-0.48
201112,0.13,-4.01
201201,2.16,-1.73
201202,0.66,-3.30
201203,4.76,2.03
201204,2.80,1.44
201205,0.00,-0.48
201206,0.09,-0.05
201207,0.00,0.00
201208,0.00,-0.04
201209,0.00,-0.07
201210,0.71,-0.08
201211,4.06,2.02
201212,6.24,2.10
201301,0.20,-3.69
201302,0.67,-3.29
201303,0.49,-2.24
201304,0.48,-0.88
201305,0.01,-0.47
201306,0.05,-0.09
201307,0.00,0.00
201308,0.00,-0.04
201309,0.23,0.16
201310,0.00,-0.79
201311,0.91,-1.13
201312,0.35,-3.79
201401,0.01,-3.88
201402,3.77,-0.19
201403,1.93,-0.80
201404,1.61,0.25
201405,0.00,-0.48
201406,0.00,-0.14
201407,0.00,0.00
201408,0.00,-0.04
201409,0.42,0.35
201410,0.31,-0.48
201411,1.99,-0.05
201412,10.66,6.52
201501,0.00,-3.89
201502,2.01,-1.95
201503,0.06,-2.67
201504,1.28,-0.08
201505,0.02,-0.46
201506,0.26,0.12
201507,0.00,0.00
201508,0.00,-0.04
201509,0.02,-0.05
201510,0.00,-0.79
201511,1.43,-0.61
201512,3.37,-0.77
201601,5.58,1.69
201602,0.85,-3.11
201603,5.14,2.41
201604,0.82,-0.54
201605,0.06,-0.42
201606,0.00,-0.14
201607,0.00,0.00
201608,0.00,-0.04
201609,0.00,-0.07
201610,2.78,1.99
201611,1.54,-0.50
201612,4.63,0.49
201701,9.33,5.44
201702,7.43,3.47
201703,2.96,0.23
201704,2.20,0.84
201705,0.00,-0.48
201706,0.05,-0.09
201707,0.00,0.00
201708,0.00,-0.04
201709,0.22,0.15
201710,0.21,-0.58
201711,2.77,0.73
201712,0.07,-4.07
201801,4.85,0.96
201802,0.39,-3.57
201803,3.33,0.60
201804,2.24,0.88
201805,0.01,-0.47
201806,0.00,-0.14
201807,0.00,0.00
201808,0.00,-0.04
201809,0.00,-0.07
201810,0.16,-0.63
201811,3.07,1.03
201812,1.65,-2.49
201901,4.59,0.70
201902,7.19,3.23
201903,4.47,1.74
201904,0.20,-1.16
201905,2.00,1.52
201906,0.00,-0.14
201907,0.00,0.00
201908,0.00,-0.04
201909,0.06,-0.01
201910,0.00,-0.79
201911,1.29,-0.75
201912,3.71,-0.43
202001,1.19,-2.70
202002,0.00,-3.96
202003,1.32,-1.41
202004,1.36,0.00
202005,0.25,-0.23
202006,0.00,-0.14
202007,0.00,0.00
202008,0.05,0.01
202009,0.00,-0.07
202010,0.00,-0.79
202011,0.31,-1.73
202012,1.39,-2.75
202101,2.92,-0.97
202102,1.26,-2.70
202103,1.39,-1.34
202104,0.00,-1.36
202105,0.00,-0.48
202106,0.00,-0.14
202107,0.00,0.00
202108,0.00,-0.04
202109,0.00,-0.07
202110,5.84,5.05
202111,0.63,-1.41
202112,9.81,5.67
202201,0.42,-3.47
202202,0.01,-3.95
202203,0.44,-2.29
202204,0.97,-0.39
202205,0.00,-0.48
202206,0.05,-0.09
202207,0.00,0.00
202208,0.01,-0.03
202209,0.27,0.20
202210,0.01,-0.78
202211,1.59,-0.45
202212,9.65,5.51
202301,9.31,5.42
