San Diego, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
199410,66.1,-1.8
199411,56.1,-6.3
199412,54.5,-3.0
199501,57.4,-0.7
199502,61.1,2.4
199503,59.9,-0.5
199504,61.2,-1.3
199505,60.4,-3.9
199506,64.2,-2.8
199507,69.6,-1.0
199508,71.6,-0.6
199509,71.2,-0.2
199510,65.7,-2.2
199511,61.4,-1.0
199512,57.2,-0.3
199601,58.3,0.2
199602,59.0,0.3
199603,58.2,-2.2
199604,64.4,1.9
199605,64.3,0.0
199606,68.4,1.4
199607,71.4,0.8
199608,72.2,0.0
199609,69.8,-1.6
199610,63.3,-4.6
199611,61.1,-1.3
199612,57.6,0.1
199701,57.9,-0.2
199702,57.8,-0.9
199703,61.8,1.4
199704,63.4,0.9
199705,67.4,3.1
199706,67.7,0.7
199707,69.2,-1.4
199708,72.5,0.3
199709,73.7,2.3
199710,67.6,-0.3
199711,62.8,0.4
199712,56.4,-1.1
199801,57.8,-0.3
199802,56.9,-1.8
199803,58.8,-1.6
199804,59.8,-2.7
199805,61.8,-2.5
199806,65.7,-1.3
199807,69.4,-1.2
199808,73.4,1.2
199809,70.9,-0.5
199810,66.4,-1.5
199811,60.3,-2.1
199812,56.0,-1.5
199901,58.2,0.1
199902,58.4,-0.3
199903,59.0,-1.4
199904,59.5,-3.0
199905,61.1,-3.2
199906,63.5,-3.5
199907,69.1,-1.5
199908,68.7,-3.5
199909,67.6,-3.8
199910,69.4,1.5
199911,61.2,-1.2
199912,58.4,0.9
200001,58.9,0.8
200002,59.7,1.0
200003,58.8,-1.6
200004,63.0,0.5
200005,65.2,0.9
200006,68.8,1.8
200007,69.8,-0.8
200008,72.7,0.5
200009,71.1,-0.3
200010,65.8,-2.1
200011,59.0,-3.4
200012,58.7,1.2
200101,55.4,-2.7
200102,55.5,-3.2
200103,59.5,-0.9
200104,59.2,-3.3
200105,64.3,0.0
200106,68.3,1.3
200107,69.7,-0.9
200108,70.2,-2.0
200109,68.9,-2.5
200110,67.0,-0.9
200111,62.0,-0.4
200112,56.1,-1.4
200201,56.3,-1.8
200202,58.1,-0.6
200203,58.3,-2.1
200204,60.2,-2.3
200205,62.5,-1.8
200206,65.4,-1.6
200207,68.5,-2.1
200208,69.5,-2.7
200209,70.7,-0.7
200210,64.9,-3.0
200211,64.1,1.7
200212,57.4,-0.1
200301,62.3,4.2
200302,59.7,1.0
200303,60.9,0.5
200304,60.5,-2.0
200305,63.0,-1.3
200306,64.9,-2.1
200307,70.7,0.1
200308,73.4,1.2
200309,70.5,-0.9
200310,68.4,0.5
200311,60.9,-1.5
200312,57.1,-0.4
200401,57.0,-1.1
200402,56.8,-1.9
200403,62.7,2.3
200404,64.5,2.0
200405,68.6,4.3
200406,68.0,1.0
200407,72.1,1.5
200408,70.9,-1.3
200409,72.8,1.4
200410,65.5,-2.4
200411,60.2,-2.2
200412,57.9,0.4
200501,58.9,0.8
200502,60.0,1.3
200503,61.1,0.7
200504,61.9,-0.6
200505,65.6,1.3
200506,66.5,-0.5
200507,70.1,-0.5
200508,71.1,-1.1
200509,68.6,-2.8
