Sacramento, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
199809,0.23,0.14
199810,0.76,-0.08
199811,2.84,1.24
199812,0.58,-2.85
199901,2.64,-1.02
199902,4.44,0.95
199903,1.50,-1.18
199904,0.89,-0.37
199905,0.07,-0.68
199906,0.03,-0.20
199907,0.00,0.00
199908,0.00,-0.04
199909,0.00,-0.09
199910,0.18,-0.66
199911,1.63,0.03
199912,0.06,-3.37
200001,6.49,2.83
200002,8.49,5.00
200003,2.03,-0.65
200004,1.39,0.13
200005,1.17,0.42
200006,0.04,-0.19
200007,0.00,0.00
200008,0.00,-0.04
200009,0.09,0.00
200010,1.62,0.78
200011,0.68,-0.92
200012,0.59,-2.84
200101,3.75,0.09
200102,4.58,1.09
200103,2.04,-0.64
200104,1.50,0.24
200105,0.00,-0.75
200106,0.08,-0.15
200107,0.00,0.00
200108,0.00,-0.04
200109,0.50,0.41
200110,0.36,-0.48
200111,2.43,0.83
200112,6.27,2.84
200201,2.19,-1.47
200202,1.13,-2.36
200203,2.87,0.19
200204,0.12,-1.14
200205,2.07,1.32
200206,0.00,-0.23
200207,0.00,0.00
200208,0.00,-0.04
200209,0.00,-0.09
200210,0.00,-0.84
200211,2.34,0.74
200212,6.26,2.83
200301,1.30,-2.36
200302,1.30,-2.19
200303,1.87,-0.81
200304,2.54,1.28
200305,1.17,0.42
200306,0.00,-0.23
200307,0.00,0.00
200308,0.57,0.53
200309,0.00,-0.09
200310,0.04,-0.80
200311,1.52,-0.08
200312,4.22,0.79
200401,2.11,-1.55
200402,5.01,1.52
200403,0.48,-2.20
200404,0.09,-1.17
200405,0.17,-0.58
200406,0.00,-0.23
200407,0.00,0.00
200408,0.00,-0.04
200409,0.16,0.07
200410,2.70,1.86
200411,2.69,1.09
200412,4.14,0.71
200501,3.82,0.16
200502,2.33,-1.16
200503,3.30,0.62
200504,0.84,-0.42
200505,1.23,0.48
200506,0.66,0.43
200507,0.00,0.00
200508,0.00,-0.04
200509,0.00,-0.09
200510,0.15,-0.69
200511,0.85,-0.75
200512,8.98,5.55
200601,2.53,-1.13
200602,2.09,-1.40
200603,5.29,2.61
200604,3.28,2.02
200605,0.30,-0.45
200606,0.00,-0.23
200607,0.00,0.00
200608,0.00,-0.04
200609,0.00,-0.09
200610,0.16,-0.68
200611,1.12,-0.48
200612,3.01,-0.42
200701,0.05,-3.61
200702,4.44,0.95
200703,0.35,-2.33
200704,1.34,0.08
200705,0.41,-0.34
200706,0.00,-0.23
200707,0.01,0.01
200708,0.00,-0.04
200709,0.06,-0.03
200710,1.05,0.21
200711,0.85,-0.75
200712,3.17,-0.26
200801,6.67,3.01
200802,1.81,-1.68
200803,0.05,-2.63
200804,0.00,-1.26
200805,0.04,-0.71
200806,0.00,-0.23
200807,0.00,0.00
200808,0.00,-0.04
200809,0.00,-0.09
200810,0.84,0.00
200811,2.38,0.78
200812,1.51,-1.92
200901,1.41,-2.25
200902,5.07,1.58
200903,2.09,-0.59
200904,1.46,0.20
200905,1.01,0.26
200906,0.56,0.33
200907,0.00,0.00
200908,0.00,-0.04
200909,0.14,0.05
200910,3.24,2.40
200911,0.26,-1.34
200912,3.65,0.22
201001,4.80,1.14
201002,2.29,-1.20
201003,2.99,0.31
201004,2.65,1.39
201005,0.75,0.00
201006,0.00,-0.23
201007,0.00,0.00
201008,0.00,-0.04
201009,0.01,-0.08
201010,1.44,0.60
201011,2.39,0.79
201012,5.55,2.12
201101,1.67,-1.99
201102,3.39,-0.10
201103,6.96,4.28
201104,0.06,-1.20
201105,1.02,0.27
