San Francisco, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
200911,55.1,-1.4
200912,49.9,-1.7
201001,51.2,-0.2
201002,53.8,0.2
201003,54.2,-1.4
201004,54.6,-2.8
201005,57.4,-2.6
201006,62.3,-0.3
201007,61.5,-2.4
201008,62.9,-2.1
201009,65.7,0.4
201010,61.9,-0.8
201011,56.1,-0.4
201012,53.8,2.2
201101,50.9,-0.5
201102,50.8,-2.8
201103,54.1,-1.5
201104,56.3,-1.1
201105,58.1,-1.9
201106,60.9,-1.7
201107,63.0,-0.9
201108,62.5,-2.5
201109,65.0,-0.3
201110,63.3,0.6
201111,54.1,-2.4
201112,49.6,-2.0
201201,50.9,-0.5
201202,52.5,-1.1
201203,53.6,-2.0
201204,57.2,-0.2
201205,58.7,-1.3
201206,61.8,-0.8
201207,62.8,-1.1
201208,62.0,-3.0
201209,60.9,-4.4
201210,63.7,1.0
201211,58.4,1.9
201212,52.2,0.6
201301,49.0,-2.4
201302,51.2,-2.4
201303,54.9,-0.7
201304,58.8,1.4
201305,60.7,0.7
201306,63.0,0.4
201307,63.2,-0.7
201308,64.7,-0.3
201309,65.8,0.5
201310,60.5,-2.2
201311,57.4,0.9
201312,49.9,-1.7
201401,54.8,3.4
201402,54.9,1.3
201403,58.5,2.9
201404,58.9,1.5
201405,62.9,2.9
201406,62.7,0.1
201407,66.0,2.1
201408,65.7,0.7
201409,66.3,1.0
201410,65.3,2.6
201411,58.7,2.2
201412,56.8,5.2
201501,53.2,1.8
201502,58.2,4.6
201503,60.0,4.4
201504,58.4,1.0
201505,58.6,-1.4
201506,62.9,0.3
201507,66.7,2.8
201508,68.1,3.1
201509,67.1,1.8
201510,65.7,3.0
201511,54.4,-2.1
201512,50.6,-1.0
201601,52.8,1.4
201602,57.0,3.4
201603,57.8,2.2
201604,60.4,3.0
201605,61.1,1.1
201606,63.4,0.8
201607,63.0,-0.9
201608,63.9,-1.1
201609,64.9,-0.4
201610,63.4,0.7
201611,58.4,1.9
201612,50.7,-0.9
201701,50.7,-0.7
201702,54.6,1.0
201703,57.0,1.4
201704,58.5,1.1
201705,61.0,1.0
201706,63.2,0.6
201707,64.3,0.4
201708,65.9,0.9
201709,69.8,4.5
201710,64.3,1.6
201711,58.1,1.6
201712,52.0,0.4
201801,53.5,2.1
201802,54.9,1.3
201803,55.3,-0.3
201804,58.4,1.0
201805,60.6,0.6
201806,62.9,0.3
201807,-99.0,-162.9
201808,63.2,-1.8
201809,62.5,-2.8
201810,63.1,0.4
201811,57.2,0.7
201812,52.9,1.3
201901,55.3,3.9
201902,50.3,-3.3
201903,54.9,-0.7
201904,59.3,1.9
201905,58.7,-1.3
201906,64.2,1.6
201907,63.9,0.0
201908,67.5,2.5
201909,67.9,2.6
201910,62.3,-0.4
201911,56.4,-0.1
201912,53.7,2.1
202001,52.1,0.7
202002,55.8,2.2
202003,54.3,-1.3
202004,58.0,0.6
202005,62.6,2.6
202006,64.9,2.3
202007,64.2,0.3
202008,68.5,3.5
202009,68.8,3.5
202010,67.2,4.5
202011,55.7,-0.8
202012,52.7,1.1
202101,53.1,1.7
202102,53.9,0.3
202103,53.5,-2.1
202104,56.0,-1.4
202105,59.7,-0.3
202106,63.2,0.6
202107,63.4,-0.5
202108,66.0,1.0
202109,66.3,1.0
202110,62.3,-0.4
202111,58.5,2.0
202112,50.9,-0.7
202201,53.0,1.6
202202,54.5,0.9
202203,56.4,0.8
202204,57.2,-0.2
202205,60.2,0.2
202206,64.8,2.2
202207,63.3,-0.6
202208,67.1,2.1
202209,69.0,3.7
202210,61.7,-1.0
202211,53.2,-3.3
202212,50.6,-1.0
202301,52.5,1.1
