San Bernardino,161108,260400,266300,274500,284200,303800,319500,342400,374000,394000,419800,450800,475900,495800,509000,523700,541400,567000,591200,616000,625000,642800,654600,670400,685300,692200,693400,692000,691100,696800,729700,762000,811800,853300,902200,931800,964000,993500,1023500,1065600,1120800,1189800,1269500,1353000,1432148,1496611,1536458,1556663,1567716,1580776,1601630,1626289,1650580,1683843,1719190,1763780,1800849,1850075,1900210,1942734,1976767,2002651,2016526,2022319,2044954.0,2066286.0,2076903.0,2088642.0,2104497.0,2119575.0,2132121.0,2147291.0,2160036.0,2174437.0,2185997,2186572,2182824
San Diego,289348,519900,528100,546100,560400,683900,743800,767200,759000,815600,855800,891000,938500,1000800,1049000,1079000,1106800,1122800,1137800,1147500,1190200,1230300,1281100,1335800,1367200,1382500,1429100,1480800,1521400,1594100,1654300,1711300,1773200,1831300,1873300,1921800,1965100,2003500,2055700,2109300,2182900,2260700,2341000,2432800,2504897,2554581,2590242,2597876,2610989,2615201,2627023,2679967,2725718,2776342,2828374,2870096,2910445,2943961,2963390,2970135,2982816,3014165,3051262,3077633,3103511.0,3135440.0,3169100.0,3197269.0,3228488.0,3248371.0,3263517.0,3276113.0,3293350.0,3294272.0,3301513,3284368,3279493
San Francisco,634536,775900,772200,771800,772000,779700,772500,765200,757500,740200,734900,735100,744600,743400,741500,747200,752800,748900,753000,739800,733800,732300,728000,719900,713200,712500,705700,704800,699800,695400,689600,683700,681900,678100,680500,686800,695200,704200,713000,727500,737500,735900,730100,724500,723187,725869,731042,742234,743343,739863,744072,749406,758210,766471,778942,782223,783255,781870,780699,779655,782928,791334,798673,801799,809945.0,819178.0,831468.0,840311.0,848474.0,857037.0,863546.0,868879.0,872338.0,872205.0,870130,838402,834046
San Joaquin,134207,191000,191800,196600,201400,206900,215500,220700,223800,226100,230800,237700,242100,246000,251700,257000,260900,268200,270600,274000,279800,282800,284200,286800,292100,293100,296400,296100,298800,299400,305400,315700,326900,336800,350200,362000,374100,386700,399800,417200,433700,448800,461400,471500,481939,493965,503273,508328,513779,522089,528655,536476,543745,554706,567753,588581,603544,621108,638522,651625,660885,669737,675248,680421,688585.0,695749.0,701991.0,707552.0,718498.0,729411.0,739814.0,750306.0,759753.0,771083.0,780207,782894,784420
San Luis Obispo,33246,50000,50200,50500,52000,62500,66000,67800,61300,63100,64800,67700,73100,78900,81900,85600,90300,92700,94000,95400,97900,99100,101200,103700,106600,110800,114300,120100,127400,130700,134700,140400,145900,151200,156600,161800,166200,170800,176700,184200,190700,197100,201400,210500,217808,220815,223079,225975,228099,230223,233534,237858,240433,243726,247724,251652,253549,255609,258483,259943,261803,264162,266850,268224,269604.0,271693.0,274697.0,276018.0,278887.0,279800.0,281681.0,282103.0,282952.0,282617.0,282639,278600,279760
San Mateo,111782,185800,201600,223500,239100,258200,277600,297400,319200,345100,370100,392700,413100,432800,449100,464300,479900,489700,503100,514000,525700,540000,552900,557100,557100,560200,561800,567100,573900,582000,579500,583000,582900,585900,588100,591000,594500,604500,611200,617300,619400,625700,633700,642600,648162,653943,661990,666787,670632,675919,679929,690377,695780,700830,708384,707460,704897,703062,701401,699277,699398,704272,711374,716264,721169.0,729569.0,740804.0,748241.0,755016.0,761484.0,764070.0,765601.0,766711.0,766312.0,760725,747900,739819
Santa Barbara,70555,92400,93900,96200,98000,100900,103300,104300,107200,110200,112800,119300,130700,149400,173600,187900,206900,221700,229000,238800,243200,247800,251900,259100,265800,269800,271200,274800,279600,281100,288900,290600,293300,295700,300000,306100,313500,322800,329200,338200,345100,351200,354600,364700,368953,374833,378511,378413,381033,383717,384878,390515,392029,394936,399874,403442,406132,409512,411190,411683,412853,416648,419970,422423,424045.0,425671.0,430232.0,434421.0,438421.0,442188.0,444277.0,445801.0,447666.0,448815.0,448484,439322,443210
Santa Clara,174949,251400,259900,277400,296600,316000,337600,360900,391200,428000,470000,513700,554200,601600,658700,708100,761000,816500,860100,903200,935100,977900,998600,1041200,1072600,1095500,1118100,1142800,1160000,1180300,1214800,1232500,1253600,1275100,1300200,1322400,1341600,1369000,1389100,1410500,1419600,1433800,1456600,1485400,1495296,1508050,1530221,1553928,1562976,1573477,1599332,1626163,1650414,1665590,1687415,1693171,1693162,1694211,1696919,1699521,1713839,1736327,1759534,1774890,1790845.0,1815327.0,1842698.0,1867932.0,1891328.0,1914457.0,1925914.0,1932947.0,1937985.0,1936521.0,1925225,1899154,1882601
Santa Cruz,45057,63000,63700,65100,66300,65700,66200,67600,70300,72800,75000,77200,79400,83700,85100,87800,91400,95100,98900,103900,107900,112000,117800,121000,124500,131000,139500,145900,150800,156100,165900,173200,179300,183800,189100,193000,196100,200100,203400,208500,212900,217200,221000,227700,229329,231258,233912,236240,238579,241202,243398,246950,249893,253241,255869,256166,255590,255122,254836,254725,255486,257601,259873,261912,262828.0,265932.0,268525.0,271320.0,272386.0,274762.0,275452.0,274739.0,273527.0,272182.0,271326,263445,264883
Shasta,28800,31500,33000,35300,36800,38200,39600,41800,44300,46400,49400,52500,55200,57400,60400,62600,65000,68000,71200,73800,76000,76700,76700,76300,78000,80600,82700,86600,90400,92400,94800,100900,107200,112900,116600,120500,121800,123200,125800,129100,131200,134200,138200,141800,147966,153776,156477,158079,159036,159742,160033,161212,161921,162154,164150,167034,169578,171987,173469,174254,175238,175849,176629,176881,177488.0,178344.0,179341.0,180304.0,181054.0,180812.0,180287.0,181095.0,181472.0,181387.0,182537,181871,180225
Sierra,3025,2000,2200,2300,2500,2500,2400,2400,2500,2400,2200,2200,2200,2200,2200,2200,2200,2400,2400,2400,2500,2400,2400,2400,2400,2500,2600,2700,2800,2800,3000,3000,3100,3100,3100,3100,3200,3200,3200,3200,3200,3200,3300,3200,3318,3326,3364,3483,3495,3560,3605,3598,3637,3548,3618,3587,3564,3545,3467,3430,3424,3344,3284,3243,3236.0,3237.0,3234.0,3230.0,3220.0,3213.0,3220.0,3233.0,3232.0,3233.0,3232,3213,3190
Siskiyou,28598,29100,29900,30200,30600,30400,30400,30900,31400,31700,32100,32000,32100,32600,33000,33400,33600,33600,33900,33800,34500,33900,33200,33200,33200,33500,34100,34700,35100,35400,35600,36700,37700,38800,40000,40700,41200,41100,41200,41500,41100,41300,42000,42800,43629,44048,44238,44736,45041,44999,44560,44889,44455,44241,44382,44275,44384,44597,44785,44945,44891,44862,45041,44950,44859.0,44912.0,44909.0,44820.0,44801.0,44655.0,44554.0,44390.0,44305.0,44193.0,44057,43616,43462
Solano,49118,105100,104500,104000,104400,116000,118300,118600,115400,116000,114700,118700,126600,132600,137100,140000,142900,148400,152800,158300,161200,165500,167600,170300,172500,179200,182300,181300,183800,188000,195600,203400,212600,224400,237200,246100,255000,261600,265600,273300,284800,297800,310400,325200,342464,356397,361948,367313,368744,367701,368534,374227,380021,388640,395991,402968,406816,408929,411389,410570,411351,412636,413167,412488,413197.0,416924.0,420979.0,425587.0,431153.0,435902.0,441224.0,445721.0,449091.0,451701.0,452095,448820,445060
